grams,uuid,frame_hex,device,captured_at
416.5,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 45 10 05 00,InSmart Coffee Scale,2026-08-28T15:43:54.669Z
8.6,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 56 00 05 00,InSmart Coffee Scale,2026-08-28T15:44:01.352Z
28.9,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 21 01 05 00,InSmart Coffee Scale,2026-08-28T15:44:08.043Z
246.1,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 9d 09 05 00,InSmart Coffee Scale,2026-08-28T15:44:16.501Z
662.6,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 e2 19 05 00,InSmart Coffee Scale,2026-08-28T15:44:24.903Z
1547,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 6e 3c 05 00,InSmart Coffee Scale,2026-08-28T15:44:39.110Z
1451,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 ae 38 05 00,InSmart Coffee Scale,2026-08-28T15:44:45.510Z
1366,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 5c 35 05 00,InSmart Coffee Scale,2026-08-28T15:44:51.210Z
1366,0000fff3-0000-1000-8000-00805f9b34fb,12 06 01 00 94 22 05 00,InSmart Coffee Scale,2026-08-28T15:44:54.103Z
885.3,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 95 22 05 00,InSmart Coffee Scale,2026-08-28T15:45:04.801Z
610.4,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 d8 17 05 00,InSmart Coffee Scale,2026-08-28T15:45:16.793Z
246.3,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 9f 09 05 00,InSmart Coffee Scale,2026-08-28T15:45:25.977Z
583.3,0000fff3-0000-1000-8000-00805f9b34fb,12 06 05 00 c9 16 05 00,InSmart Coffee Scale,2026-08-28T15:45:53.947Z
-416.4,0000fff3-0000-1000-8000-00805f9b34fb,12 06 15 00 44 10 05 00,InSmart Coffee Scale,2026-08-28T15:46:11.634Z
-246.1,0000fff3-0000-1000-8000-00805f9b34fb,12 06 15 00 9d 09 05 00,InSmart Coffee Scale,2026-08-28T15:46:26.629Z
-29,0000fff3-0000-1000-8000-00805f9b34fb,12 06 15 00 22 01 05 00,InSmart Coffee Scale,2026-08-28T15:46:37.193Z
