shot_id,timestamp,dose_g,yield_g,ratio,grind_setting,grind_label,temp_c,pressure_bar,time_s,brix,tds_pct,ey_pct,flow_gs,defaulted,notes
legacy-001,2025-03-06 07:06:47,19,35.7,1.879,400,medium,93,9,27,13.5,11.475,21.561,1.322,grind_setting;time_s,
legacy-002,2025-03-06 07:16:55,18,35.8,1.989,400,medium,93,9,25,15,12.75,25.358,1.432,time_s,
legacy-003,2025-03-06 17:31:55,18,36.7,2.039,400,medium,93,9,24,10.5,8.925,18.197,1.529,time_s,
legacy-004,2025-03-06 17:37:01,17.9,37.9,2.117,600,coarse,93,9,14,10,8.5,17.997,2.707,grind_setting;time_s,
legacy-005,2025-03-06 17:43:23,18.6,37.5,2.016,600,coarse,93,9,13,9,7.65,15.423,2.885,grind_setting;time_s,
legacy-006,2025-03-06 17:48:40,17.4,39.1,2.247,200,fine,93,9,37,10,8.5,19.101,1.057,grind_setting;time_s,
legacy-007,2025-03-06 17:51:04,18,36,2,200,fine,93,9,42,11,9.35,18.7,0.857,grind_setting;time_s,
legacy-008,2025-03-06 18:02:07,17.9,36.2,2.022,400,medium,95,9,24.7,15,12.75,25.785,1.466,temp_c;time_s,
legacy-009,2025-03-06 18:05:20,17.7,38.9,2.198,400,medium,95,9,26,13,11.05,24.285,1.496,temp_c;time_s,
legacy-010,2025-03-12 23:08:03,18,36,2,400,medium,90,9,25,9.5,8.075,16.15,1.44,temp_c,
legacy-011,2025-03-12 23:08:36,17.9,35,1.955,400,medium,90,9,25,10.5,8.925,17.451,1.4,temp_c,
legacy-012,2025-03-12 23:09:25,17.8,37,2.079,400,medium,91,9,24.8,11,9.35,19.435,1.492,temp_c;time_s,
legacy-013,2025-03-12 23:10:02,18.2,35,1.923,400,medium,91,9,22,9.5,8.075,15.529,1.591,temp_c;time_s,
legacy-014,2025-03-12 23:10:38,18.1,39,2.155,400,medium,91,9,27,9.5,8.075,17.399,1.444,temp_c;time_s,
legacy-015,2025-03-13 00:23:39,18.1,37.8,2.088,400,medium,93,9,23,11.5,9.775,20.414,1.643,time_s,
